6.8	0.66	0.07	1.6	0.07	16	61	0.99572	3.29	0.6	9.3	0
8.2	0.28	0.6	3	0.104	10	22	0.99828	3.39	0.68	10.6	0
7.6	0.78	0	1.7	0.076	33	45	0.99612	3.31	0.62	10.7	1
7.9	0.18	0.4	2.2	0.049	38	67	0.996	3.33	0.93	11.3	0
7.5	0.52	0.4	2.2	0.06	12	20	0.99474	3.26	0.64	11.8	1
5.6	0.5	0.09	2.3	0.049	17	99	0.9937	3.63	0.63	13	0
8.6	0.55	0.09	3.3	0.068	8	17	0.99735	3.23	0.44	10	0
7.6	0.36	0.31	1.7	0.079	26	65	0.99716	3.46	0.62	9.5	1
8.8	0.55	0.04	2.2	0.119	14	56	0.9962	3.21	0.6	10.9	1
7.6	0.41	0.14	3	0.087	21	43	0.9964	3.32	0.57	10.5	1
8.2	0.4	0.44	2.8	0.089	11	43	0.9975	3.53	0.61	10.5	1
7.8	0.645	0	5.5	0.086	5	18	0.9986	3.4	0.55	9.6	1
9.1	0.6	0	1.9	0.058	5	10	0.9977	3.18	0.63	10.4	1
7.5	0.58	0.56	3.1	0.153	5	14	0.99476	3.21	1.03	11.6	1
6.7	0.855	0.02	1.9	0.064	29	38	0.99472	3.3	0.56	10.75	1
10.6	0.36	0.59	2.2	0.152	6	18	0.9986	3.04	1.05	9.4	0
7.9	0.33	0.23	1.7	0.077	18	45	0.99625	3.29	0.65	9.3	0
9.3	0.36	0.39	1.5	0.08	41	55	0.99652	3.47	0.73	10.9	1
6.5	0.615	0	1.9	0.065	9	18	0.9972	3.46	0.65	9.2	0
6.7	0.48	0.02	2.2	0.08	36	111	0.99524	3.1	0.53	9.7	0
9.5	0.55	0.66	2.3	0.387	12	37	0.9982	3.17	0.67	9.6	0
7.7	0.39	0.12	1.7	0.097	19	27	0.99596	3.16	0.49	9.4	0
13.3	0.29	0.75	2.8	0.084	23	43	0.9986	3.04	0.68	11.4	1
8.6	0.47	0.3	3	0.076	30	135	0.9976	3.3	0.53	9.4	0
5.8	0.29	0.26	1.7	0.063	3	11	0.9915	3.39	0.54	13.5	1
11.8	0.26	0.52	1.8	0.071	6	10	0.9968	3.2	0.72	10.2	1
8	0.58	0.28	3.2	0.066	21	114	0.9973	3.22	0.54	9.4	1
5.2	0.32	0.25	1.8	0.103	13	50	0.9957	3.38	0.55	9.2	0
7.5	0.71	0	1.6	0.092	22	31	0.99635	3.38	0.58	10	1
6.6	0.58	0	2.2	0.1	50	63	0.99544	3.59	0.68	11.4	1
12	0.37	0.76	4.2	0.066	7	38	1.0004	3.22	0.6	13	1
8.7	0.42	0.45	2.4	0.072	32	59	0.99617	3.33	0.77	12	1
6.9	0.4	0.24	2.5	0.083	30	45	0.9959	3.26	0.58	10	0
8.9	0.31	0.57	2	0.111	26	85	0.9971	3.26	0.53	9.7	0
7.3	0.58	0.3	2.4	0.074	15	55	0.9968	3.46	0.59	10.2	0
7.4	0.62	0.05	1.9	0.068	24	42	0.9961	3.42	0.57	11.5	1
7.6	0.52	0.12	3	0.067	12	53	0.9971	3.36	0.57	9.1	0
8.1	0.78	0.23	2.6	0.059	5	15	0.997	3.37	0.56	11.3	0
7.5	0.6	0.03	1.8	0.095	25	99	0.995	3.35	0.54	10.1	0
11.5	0.35	0.49	3.3	0.07	10	37	1.0003	3.32	0.91	11	1
11.6	0.475	0.4	1.4	0.091	6	28	0.99704	3.07	0.65	10.03333333	1
9	0.58	0.25	2	0.104	8	21	0.99769	3.27	0.72	9.6	0
6.6	0.84	0.03	2.3	0.059	32	48	0.9952	3.52	0.56	12.3	1
8.2	0.4	0.31	1.9	0.082	8	24	0.996	3.24	0.69	10.6	1
11.5	0.315	0.54	2.1	0.084	5	15	0.9987	2.98	0.7	9.2	1
6.9	0.51	0.23	2	0.072	13	22	0.99438	3.4	0.84	11.2	1
6.2	0.43	0.22	1.8	0.078	21	56	0.99633	3.52	0.6	9.5	1
7.2	0.36	0.46	2.1	0.074	24	44	0.99534	3.4	0.85	11	1
9.9	0.5	0.5	13.8	0.205	48	82	1.00242	3.16	0.75	8.8	0
8.6	0.83	0	2.8	0.095	17	43	0.99822	3.33	0.6	10.4	1
6.5	0.88	0.03	5.6	0.079	23	47	0.99572	3.58	0.5	11.2	0
7.1	0.43	0.42	5.5	0.07	29	129	0.9973	3.42	0.72	10.5	0
